lineage,n_members,members,alpha_50,alpha_50_nonparametric,max_refusal_rate,ams_sigma,plain_harmful_refusal,jailbreak_asr,xstest_over_refusal
L1,2,"['l1_abliterated', 'l1_instruct']",1.9835310247776443,0.5022556390977444,0.975,2.492591229352084,0.2125,0.5208333333333334,0.15
L2,3,"['l2_abliterated', 'l2_instruct', 'l2_uncensored']",1.9835310247776443,0.5771543209876543,0.9500000000000001,2.9525868892669678,0.41250000000000003,0.5555555555555556,0.12666666666666668
L3,2,"['l3_abliterated', 'l3_instruct']",1.9835310247776443,1.1486029411764704,0.585,4.580498158931732,0.65625,0.27083333333333337,0.16999999999999998
L4,2,"['l4_abliterated', 'l4_instruct']",1.9835310247776443,1.0162499999999999,0.47000000000000003,2.9603272676467896,0.59375,0.5875,0.21000000000000002
L5,2,"['l5_base', 'l5_instruct']",1.9835310247776443,1.189326923076923,0.53,2.1532644748687746,0.48124999999999996,0.39583333333333337,0.24
L6,2,"['l6_base', 'l6_instruct']",1.9835310247776443,0.9874621212121212,0.47000000000000003,1.7461597919464111,0.36875,0.22916666666666669,0.24
L7,1,['l7_instruct'],1.9835310247776443,1.7325,0.08,1.4575809902615018,0.1625,0.49166666666666664,0.1
