score,primary column,C1 lexical,C2 monotone,C3 depth,C4 jackknife,C5 scorer,pass count,pass count (checks 1-4),oriented rho,95% CI (lineage-clustered),exhaustive perm p,perm floor,AUC (median split),audit cost: forward passes/member,audit cost: generations/member
alpha_50,max_refusal_rate,FAIL (undef.),FAIL (0.833),PASS (1.823),PASS (0.210),FAIL (0.391),2/5,2/4,-0.208,"[-0.545, 0.183]",0.3087,1.98e-04,0.381,0,265
our-AMS sigma,ams_sigma,FAIL (0.833),FAIL (0.947),PASS (1.607),PASS (0.226),FAIL (0.391),2/5,2/4,0.358,"[-0.072, 0.709]",0.0911,1.98e-04,0.705,96,0
logit-gap (benign),logit_gap_benign,FAIL (0.967),FAIL (0.158),FAIL (4.361),FAIL (0.292),FAIL (0.391),0/5,0/4,0.101,"[-0.243, 0.569]",0.6621,1.98e-04,0.523,40,0
logit-gap (harmful),logit_gap_harmful,FAIL (0.977),FAIL (0.526),FAIL (3.611),PASS (0.220),FAIL (0.391),1/5,1/4,0.667,"[0.439, 0.904]",0.0038,1.98e-04,0.784,80,0
